anlaegsbetydning,en_anlaegsbetydning,fa-icon,counts,most_frequent_datering,datering_distributions,definition,web_search_sources
Kulturlag,Culture layer,play,4877,Stenalder,"{'Stenalder': 1202, 'Jernalder': 1042, 'Historisk Tid': 613, 'Oldtid': 581, 'Middelalder': 558, 'Nyere tid': 349, 'Bronzealder': 228, 'Udateret': 142, 'Efterreformatorisk tid': 108, 'Vikingetid': 54}","Kulturlag er et historisk lag, der ofte er placeret under jorden og indeholder en række genstande og artefakter, som er bevare fra en tidligere tidsperiode, såsom værktøj, keramik og andre kultur- og religiøse objekter.","['https://glosbe.com/nb/en/Kulturlag', 'https://glosbe.com/nb/sv/Kulturlag', 'https://www.motvindkulturlag.no/motvind-records/diskografi/mot25', 'https://ntnuopen.ntnu.no/ntnu-xmlui/handle/11250/2775682?locale-attribute=no']"
Møntfund,Coin Finds,coins,4159,Middelalder,"{'Middelalder': 1964, 'Jernalder': 546, 'Historisk Tid': 430, 'Nyere tid': 411, 'Vikingetid': 384, 'Efterreformatorisk tid': 223, 'Udateret': 197, 'Oldtid': 3, 'Stenalder': 1}","Et møntfund er et samlet antal mønter, der er blevet fundet sammen, og som kan give os oplysninger om handel og økonomi i fortiden.",['https://www.folketingstidende.dk/samling/20001/lovforslag/L152/20001_L152_som_fremsat.pdf']
Grube (uspecificeret funktion),Grub (unspecified function),file,3899,Oldtid,"{'Oldtid': 1120, 'Udateret': 933, 'Jernalder': 871, 'Stenalder': 352, 'Bronzealder': 269, 'Nyere tid': 162, 'Historisk Tid': 103, 'Middelalder': 62, 'Vikingetid': 23, 'Efterreformatorisk tid': 4}","En grube er en udgravning i jorden, der kan have forskellige former og størrelser, og som ofte er lavet af mennesker i forbindelse med ritueller, begravelser eller til at hente materiale.",['http://emilkirkegaard.dk/da/wp-content/uploads/danish_dict.txt']
Langhøj,Long mound,long-arrow-alt-down,3523,Stenalder,"{'Stenalder': 2827, 'Oldtid': 661, 'Bronzealder': 25, 'Jernalder': 4, 'Vikingetid': 4, 'Udateret': 2}","En langhøj er en lang, smal jordhøj, som dækker over en eller flere gravkamre fra bronzealderen.","['https://fortidsmindeguide.dk/tidsalder/bonde-stenalder/vasegaard-langhoj', 'https://www.randers.dk/oplev/kulturhistorie/kulturarv-og-fortidsminder/haversdaas-langhoej/', 'https://forstadsmuseet.dk/historien-om/langhoej/']"
Stenbygget grav,Stone-built grave,grav,2673,Oldtid,"{'Oldtid': 1478, 'Stenalder': 700, 'Jernalder': 275, 'Bronzealder': 211, 'Historisk Tid': 3, 'Middelalder': 2, 'Vikingetid': 2, 'Nyere tid': 1, 'Udateret': 1}","En stenbygget grav er en storstensgrav eller stenkiste, hvor den døde er blevet begravet enten i jorden eller i en kiste lavet af sten.","['https://trap.lex.dk/stenbygget_grav', 'https://www.researchgate.net/publication/374679327_Fragmenterede_grave_Gravskik_og_vabengrave_i_Nordjylland_i_yngre_forromersk_jernalder']"
Stenkiste,Stone coffin,store,2400,Bronzealder,"{'Bronzealder': 922, 'Oldtid': 675, 'Stenalder': 530, 'Jernalder': 258, 'Vikingetid': 5, 'Middelalder': 3, 'Nyere tid': 3, 'Udateret': 3, 'Efterreformatorisk tid': 1}","En stenkiste er en stenbygget kiste fra stenalderen, hvor den døde er blevet begravet under en vældig dæksten.","['https://fynskefortidsminder.wordpress.com/2016/05/11/salmager-stenkiste/', 'https://fortidsmindeguide.dk/tidsalder/bronzealder/sorte-enge-stenkiste', 'https://trap.lex.dk/Stenkiste,_mv.,_Nyborg', 'https://trap.lex.dk/Stenkiste,_mv.,_Folehave_Skov']"
Gravrøse,Gravity,grav,2353,Oldtid,"{'Oldtid': 1887, 'Jernalder': 300, 'Bronzealder': 144, 'Vikingetid': 11, 'Stenalder': 10, 'Udateret': 1}","En gravrøse er en lille, rund gravhøj, typisk fra stenalderen, hvor den døde er blevet begravet sammen med genstande.","['https://trap.lex.dk/Gravr%C3%B8se,_Brokhede_Plantage_-_%232', 'https://trap.lex.dk/Gravr%C3%B8se,_Afd.116_-_%2314', 'https://da.wikipedia.org/wiki/Fredede_fortidsminder_i_Bornholms_Regionskommune_(L-R)', 'https://da.wikipedia.org/wiki/Fredede_fortidsminder_i_Bornholms_Regionskommune_(G-K)']"
"Diverse anlæg og genstande, uspec undergruppe","Miscellaneous equipment and articles, unspecified sub-group",d-and-d-beyond,2327,Udateret,"{'Udateret': 566, 'Stenalder': 425, 'Oldtid': 418, 'Middelalder': 249, 'Jernalder': 243, 'Historisk Tid': 172, 'Nyere tid': 134, 'Bronzealder': 61, 'Vikingetid': 45, 'Efterreformatorisk tid': 14}","Diverse anlæg og genstande, som f.eks. værktøj, våben eller bygninger, som giver os viden om menneskelig aktivitet i fortiden.","['https://slks.dk/omraader/kulturarv/information-til-ejere-/-brugere/det-maa-du-paa-fortidsminder', 'https://nalunaarutit.gl/arkiv/gh.gl-love/dk/2007/ltl/ltl_nr_18-2007_kulturminder/ltl_nr_18-2007_bemaerk_dk.htm']"
Marksystem,Field System,steam,2209,Jernalder,"{'Jernalder': 955, 'Oldtid': 478, 'Historisk Tid': 438, 'Middelalder': 189, 'Udateret': 66, 'Nyere tid': 60, 'Bronzealder': 11, 'Stenalder': 6, 'Efterreformatorisk tid': 4, 'Vikingetid': 2}","Et marksystem er et netværk af grøfter, dige og palisader, som tilsammen danner en funktionel enhed, måske til forsvar eller afmærkning.","['https://trap.lex.dk/Marksystem,_mv.,_Lem', 'https://da.wikipedia.org/wiki/Fredede_fortidsminder_i_Silkeborg_Kommune', 'https://slks.dk/omraader/kulturarv/arkaeologi-fortidsminder-og-diger/arkaeologi-paa-land/arkaeologiske-strategier/bronzealder-1800-500-fkr/bebyggelse']"
Bygning,Building,building,2177,Historisk Tid,"{'Historisk Tid': 527, 'Jernalder': 415, 'Middelalder': 395, 'Nyere tid': 391, 'Oldtid': 119, 'Bronzealder': 97, 'Udateret': 76, 'Stenalder': 64, 'Efterreformatorisk tid': 58, 'Vikingetid': 35}","En bygning fra fortiden, som f.eks. en bondegård, et herregård eller en kirke, som giver os viden om arkitektur og menneskelig aktivitet.","['https://slks.dk/omraader/kulturarv/beskyttede-fortidsminder/udpegning-af-beskyttede-fortidsminder', 'https://slks.dk/omraader/slotte-og-ejendomme/bygge-og-udviklingsprojekter/nyborg-slot/hvad-er-et-fredet-fortidsminde', 'https://www.dst.dk/da/Statistik/dokumentation/statistikdokumentation/fredede-bygninger-og-fortidsminder/indhold', 'https://museumodense.dk/artikler/tilsyn-med-fredede-fortidsminder/']"
"Begravelse, uspec undergruppe","Funeral, unspecified subgroup",crop,1873,Bronzealder,"{'Bronzealder': 503, 'Jernalder': 465, 'Stenalder': 435, 'Oldtid': 399, 'Vikingetid': 26, 'Historisk Tid': 18, 'Udateret': 14, 'Nyere tid': 7, 'Middelalder': 6}","En begravelsessted, hvor den døde er blevet lagt til hvile, ofte sammen med genstande, som giver os indsigt i den dødes status og tro.","['https://fortidsmindeguide.dk/tidsalder/jernalder/rostved-gravplads', 'https://trap.lex.dk/Begravelse,_uspec_undergruppe,_H%C3%B8jstrupgravpladsen_-_%232', 'https://fortidsmindeguide.dk/tidsalder/bonde-stenalder/givehoje', 'https://da.wikipedia.org/wiki/Gravh%C3%B8j']"
Hulvej,Hollow Road,ad,1519,Udateret,"{'Udateret': 1354, 'Historisk Tid': 75, 'Oldtid': 42, 'Nyere tid': 30, 'Middelalder': 10, 'Jernalder': 3, 'Bronzealder': 2, 'Vikingetid': 2, 'Efterreformatorisk tid': 1}","En hulvej er en gammel vej, hvor der er blevet kørt over samme stier så meget, at der er blevet lavet hule i jorden.","['https://fortidsmindeguide.dk/tidsalder/jernalder/rostved-gravplads', 'https://trap.lex.dk/Begravelse,_uspec_undergruppe,_H%C3%B8jstrupgravpladsen_-_%232', 'https://fortidsmindeguide.dk/tidsalder/bonde-stenalder/givehoje', 'https://da.wikipedia.org/wiki/Gravh%C3%B8j']"
Skåltegn,Bowl Characters,chair,1455,Bronzealder,"{'Bronzealder': 1036, 'Oldtid': 400, 'Stenalder': 9, 'Udateret': 9, 'Jernalder': 1}","Skåltegn er tegn og figurer, der er gravet i jorden, ofte med religiøse eller magiske formål, og som er synlige fra luften.","['https://fortidsmindeguide.dk/tidsalder/jernalder/rostved-gravplads', 'https://trap.lex.dk/Begravelse,_uspec_undergruppe,_H%C3%B8jstrupgravpladsen_-_%232', 'https://fortidsmindeguide.dk/tidsalder/bonde-stenalder/givehoje', 'https://da.wikipedia.org/wiki/Gravh%C3%B8j']"
Votivfund,Votive find,wind,1444,Stenalder,"{'Stenalder': 554, 'Bronzealder': 383, 'Jernalder': 349, 'Oldtid': 132, 'Vikingetid': 15, 'Udateret': 4, 'Nyere tid': 3, 'Middelalder': 2, 'Efterreformatorisk tid': 1, 'Historisk Tid': 1}","Et votivfund er et ritualt offer, som er blevet givet til guder eller ånder, f.eks. et smykke, en figur eller et våben.",['https://tidsskrift.dk/dja/article/view/114837']
Urnegrav (uspecificeret type),Arrow grave (unspecified type),grav,1439,Bronzealder,"{'Bronzealder': 757, 'Jernalder': 382, 'Oldtid': 296, 'Nyere tid': 3, 'Udateret': 1}","Et urnegrav er en begravelsessted, hvor den dødes brændte skeletrester er blevet nedlagt i en urne og begravet i jorden.","['https://densidsterejse.dk/gravstedstyper/', 'https://denstoredanske.lex.dk/urnegrav', 'https://da.wikipedia.org/wiki/Begravelse']"
Brønd,Water,water,1339,Jernalder,"{'Jernalder': 367, 'Historisk Tid': 244, 'Middelalder': 209, 'Nyere tid': 186, 'Oldtid': 130, 'Udateret': 71, 'Bronzealder': 56, 'Vikingetid': 32, 'Efterreformatorisk tid': 29, 'Stenalder': 15}","En brønd er et kildested, hvor der ofte er fundet religiøse genstande, og som har fungeret som et centralt sted i landskabet.","['https://slks.dk/omraader/kulturarv/arkaeologi-fortidsminder-og-diger/arkaeologi-paa-land/arkaeologiske-strategier/bronzealder-1800-500-fkr/bebyggelse', 'https://mfkn.naevneneshus.dk/afgoerelse/c0893dec-a035-4ce3-8582-cc11c12f2afb', 'https://www.moesgaardmuseum.dk/nyheder/arkaeologer-har-faaet-ny-viden-om-bronzealderplads/']"
Dysse,Dyssis,sass,1270,Stenalder,"{'Stenalder': 1265, 'Oldtid': 3, 'Udateret': 2}","En dysse er en stenaldergrav, hvor den døde er blevet begravet i en lang, smal jordhøj, ofte med et væld af genstande.","['https://fortidsmindeguide.dk/tidsalder/bonde-stenalder/haversdas-langhoj-og-dysse', 'https://www.langeland.dk/langeland/oplevelser/fortidsminder']"
Depotfund,Detention finding,digg,1153,Stenalder,"{'Stenalder': 501, 'Bronzealder': 333, 'Jernalder': 126, 'Vikingetid': 75, 'Oldtid': 51, 'Middelalder': 21, 'Historisk Tid': 14, 'Efterreformatorisk tid': 11, 'Udateret': 11, 'Nyere tid': 10}","Et depotfund er et samlet antal genstande, som er blevet begravet sammen, f.eks. som et offer eller i forbindelse med uroligheder.","['https://da.wikipedia.org/wiki/Depotfund', 'https://da.wikipedia.org/wiki/M%C3%B8ntfund_fra_Danmark', 'https://denstoredanske.lex.dk/Gilbjerg_Hoved-depotet']"
Kirke,Church,church,1115,Historisk Tid,"{'Historisk Tid': 799, 'Middelalder': 277, 'Udateret': 18, 'Nyere tid': 13, 'Efterreformatorisk tid': 5, 'Vikingetid': 2, 'Jernalder': 1}","En kirke er et sted til kristen tilbedelse, som ofte er bygget på et sted med særlig betydning, og som kan indeholde gamle gravsten og andre genstande.","['https://da.wikipedia.org/wiki/Gravh%C3%B8j', 'https://glosbe.com/nb/da/fornminne']"
Hegn/gærde,Fences/ferment,neos,1060,Jernalder,"{'Jernalder': 664, 'Oldtid': 118, 'Udateret': 65, 'Middelalder': 58, 'Vikingetid': 42, 'Nyere tid': 38, 'Historisk Tid': 34, 'Bronzealder': 25, 'Stenalder': 15, 'Efterreformatorisk tid': 1}","Et hegn eller en gærde er en indhegning, der markerer en bebyggelses grænser, og som ofte er lavet af træer, buske eller andet plantevækst.","['https://trap.lex.dk/Hegn/g%C3%A6rde,_Palisaden_i_Jelling', 'https://trap.lex.dk/Borg/Voldsted,_mv.,_Revshaleborg_voldsted', 'https://da.wikipedia.org/wiki/Fredede_fortidsminder_i_Bornholms_Regionskommune_(L-R)', 'https://slks.dk/omraader/kulturarv/fredede-bygninger/bygningsarbejde-eller-vedligehold/hent-viden-og-vaerktoejer/informationsbladene-om-vedligeholdelse-og-istandsaettelse', 'https://slks.dk/omraader/kulturarv/arkaeologi-fortidsminder-og-diger/arkaeologi-paa-land/arkaeologiske-strategier/middelalder-landbebyggelse-1050-1536-ekr/administrative-graenser']"
Borg/Voldsted,Borg/Voldsted,blog,974,Middelalder,"{'Middelalder': 521, 'Historisk Tid': 383, 'Udateret': 36, 'Efterreformatorisk tid': 14, 'Vikingetid': 7, 'Jernalder': 6, 'Nyere tid': 4, 'Oldtid': 3}","En borg eller et voldsted er et fæstningsværk, der er bygget til forsvar og beskyttelse, og som ofte er placeret på et strategisk sted.",['https://da.wikipedia.org/wiki/Fredede_fortidsminder_i_K%C3%B8benhavns_Kommune']
Skaldynge,Shelled,user-shield,973,Stenalder,"{'Stenalder': 806, 'Oldtid': 96, 'Jernalder': 63, 'Bronzealder': 8}","En skaldynge er et sted hvor der er blevet produceret keramik, og som ofte indeholder brændte jordklumper og keramikrester.",['https://www.sdu.dk/-/media/files/om_sdu/institutter/ihks/kdc/symposieberetninger/shi_17_1976.pdf']
Stolpehul m. uvis funktion,Pithole with no function,home,960,Oldtid,"{'Oldtid': 440, 'Udateret': 198, 'Jernalder': 184, 'Stenalder': 40, 'Bronzealder': 37, 'Historisk Tid': 25, 'Middelalder': 20, 'Nyere tid': 8, 'Vikingetid': 8}","Et stolpehul er et hul i jorden, hvor der har været en stolpe, måske med religiøs betydning, og som kan være forbundet med andre stenalderkonstruktioner.",['https://www.researchgate.net/publication/367804347_Vikingetidens_gravskik_i_Danmark_-_Spor_af_begravelsesritualer_i_jordfaestegrave']
Stensætning,Stone Layer,store,936,Oldtid,"{'Oldtid': 551, 'Bronzealder': 129, 'Jernalder': 128, 'Stenalder': 56, 'Udateret': 46, 'Nyere tid': 14, 'Vikingetid': 5, 'Historisk Tid': 4, 'Middelalder': 2, 'Efterreformatorisk tid': 1}","En stensætning er et stenalderkonstruktion, der ofte er formet som et skib, og som kan have fungeret som et gravmonument eller til religiøse formål.","['https://slks.dk/omraader/kulturarv/information-til-ejere-/-brugere/det-maa-du-paa-fortidsminder', 'https://trap.lex.dk/Stens%C3%A6tning,_S%C3%B8dal_skov', 'https://trap.lex.dk/stens%C3%A6tning', 'https://www.langeland.dk/langeland/oplevelser/fortidsminder']"
Ildsted,Location of fire,at,921,Oldtid,"{'Oldtid': 403, 'Jernalder': 194, 'Stenalder': 121, 'Udateret': 82, 'Bronzealder': 58, 'Middelalder': 32, 'Nyere tid': 12, 'Historisk Tid': 11, 'Efterreformatorisk tid': 5, 'Vikingetid': 3}","Et ildsted er et sted hvor der er blevet brændt ild, måske til madlavning eller til religiøse formål, og som ofte indeholder brændemærker og jordresterne.","['https://fortidsmindeguide.dk/tidsalder/bonde-stenalder/jaettestue-ildsted', 'https://slks.dk/omraader/kulturarv/arkaeologi-fortidsminder-og-diger/arkaeologi-paa-land/arkaeologiske-strategier/jernalder-aej-500-fkr-400-ekr-yj-400-800-ekr-vikingetid-800-1050-ekr/forundersoegelse']"
Brandplet,Firespot,fire,919,Jernalder,"{'Jernalder': 843, 'Oldtid': 45, 'Bronzealder': 17, 'Vikingetid': 10, 'Stenalder': 2, 'Udateret': 2}","Et brandplet er et sted hvor der har været en brand, og som ofte er kendetegnet ved en sort flække i jorden, der er forårsaget af brændingen.","['https://www.yumpu.com/da/document/view/23991831/klassifikation-af-anlag-centralregistrering-11-1-kulturstyrelsen', 'https://www.academia.edu/22592694/Afvigende_normaler_i_vikingetidens_gravskik_Dobbeltgraven_fra_Gerdrup_35_%C3%A5r_efter']"
Vej,Road,road,869,Udateret,"{'Udateret': 285, 'Historisk Tid': 268, 'Middelalder': 107, 'Nyere tid': 97, 'Oldtid': 47, 'Jernalder': 39, 'Efterreformatorisk tid': 15, 'Vikingetid': 7, 'Bronzealder': 3, 'Stenalder': 1}","En vej er et transportmiddel fra fortiden, som f.eks. en sti, en vej eller en vej, som ofte er bygget af sten eller andre materialer.","['https://grunddatamodel.datafordeler.dk/objekttypekatalog/Stednavne/Fortidsminde.html', 'https://www.vejhistorie.dk/links/historiske-veje/veje-i-danmark', 'https://slks.dk/omraader/kulturarv/arkaeologi-fortidsminder-og-diger/arkaeologi-paa-land/kulturarvsarealer']"
Kirkegård,Cemetery,meteor,859,Historisk Tid,"{'Historisk Tid': 523, 'Middelalder': 253, 'Nyere tid': 63, 'Udateret': 13, 'Efterreformatorisk tid': 4, 'Oldtid': 2, 'Vikingetid': 1}","Et kirkegård er et sted hvor de døde bliver begravet i gravene, og som ofte er placeret omkring en kirke, med markante bevaringsværdige spor.","['https://slks.dk/omraader/kulturarv/arkaeologi-fortidsminder-og-diger/arkaeologi-paa-land/arkaeologiske-strategier/middelalder-oedekirker-1050-1536-ekr/oedekirkernes-omgivelser-kirkegaarde-og-kirkenaere-omraader', 'https://www.kirkekonsulenter.natmus.dk/omgivelser-uden-for-kirkegrden', 'https://videntjenesten.ku.dk/park_og_landskab/planlaegning_og_forvaltning/kulturhistoriske_vaerdier/videnblad_03.14-45/']"
Stenlægning/Stensamling,Detachment/Stone collection,store,825,Oldtid,"{'Oldtid': 319, 'Udateret': 182, 'Jernalder': 139, 'Stenalder': 61, 'Historisk Tid': 36, 'Bronzealder': 31, 'Nyere tid': 30, 'Middelalder': 16, 'Efterreformatorisk tid': 7, 'Vikingetid': 4}","En stenlægning er et historisk monument, der består af en eller flere stenhøjlinger, arrangeret i en specifik mønster eller formation, som ofte har religiøs eller astronomisk betydning for de mennesker, der oprindeligt lavede dem.","['https://www.merriam-webster.com/dictionary/Sten', 'https://en.wikipedia.org/wiki/Sten_scores', 'https://www.testpartnership.com/academy/what-is-a-sten-score.html', 'https://www.collinsdictionary.com/dictionary/english/sten', 'https://www.oed.com/dictionary/sten_n']"
Grubehus,Grub House,user,818,Jernalder,"{'Jernalder': 635, 'Vikingetid': 141, 'Udateret': 31, 'Oldtid': 6, 'Middelalder': 5}","Et grubehus er et hus, hvor væggene og taget er lavet af træer, som er plantet ned i jorden, og som ofte har en irregulær form.","['https://slks.dk/omraader/kulturarv/arkaeologi-fortidsminder-og-diger/arkaeologi-paa-land/arkaeologiske-strategier/jernalder-aej-500-fkr-400-ekr-yj-400-800-ekr-vikingetid-800-1050-ekr/forundersoegelse', 'https://museumodense.dk/artikler/knuds-odense-vikingernes-by/']"
Bautasten,Bautasten,atlas,813,Oldtid,"{'Oldtid': 546, 'Jernalder': 219, 'Vikingetid': 23, 'Bronzealder': 17, 'Stenalder': 4, 'Udateret': 3, 'Nyere tid': 1}","En bautasten er en stor, opretstående sten, som er sat over en gravlagt person, enten som en del af et gravsted eller som en kenotaf over en person, som døde et andet sted.","['https://fortidsmindeguide.dk/tidsalder/bronzealder/gryet-bautasten', 'https://trap.lex.dk/Bautasten,_Gryet_-_%2339', 'https://slks.dk/omraader/kulturarv/beskyttede-fortidsminder/beskyttelseslinje-for-fortidsminder']"
Jern,Iron,exclamation,777,Jernalder,"{'Jernalder': 614, 'Udateret': 100, 'Middelalder': 32, 'Historisk Tid': 17, 'Vikingetid': 8, 'Nyere tid': 4, 'Bronzealder': 1, 'Oldtid': 1}","Jern er et metal, der er blevet brugt til at lave værktøj og våben i jernalderen, og som ofte er begravet sammen med den døde.","['https://fortidsmindeguide.dk/baggrundshistorie/jernalderen', 'https://slks.dk/omraader/kulturarv/beskyttede-fortidsminder/udpegning-af-beskyttede-fortidsminder', 'https://trap.lex.dk/Rundh%C3%B8j,_Skonningeh%C3%B8j', 'https://nordjyskemuseer.dk/metaldetektering-regler-og-retningslinjer/']"
Gård,Farm,calendar-minus,775,Jernalder,"{'Jernalder': 273, 'Historisk Tid': 163, 'Nyere tid': 151, 'Middelalder': 124, 'Efterreformatorisk tid': 24, 'Udateret': 14, 'Oldtid': 13, 'Bronzealder': 7, 'Vikingetid': 6}","En gård er et sted hvor mennesker har boet og arbejdet, og som ofte indeholder bebyggelse, jord og andre ressourcer, der er blevet brugt til at drive gården.","['https://glosbe.com/da/en/fortidsminde', 'https://da.glosbe.com/da/da/fortidsminde']"
Markrøse,Markers,marker,745,Oldtid,"{'Oldtid': 590, 'Jernalder': 126, 'Udateret': 21, 'Nyere tid': 6, 'Historisk Tid': 2}","En markrøse er et stort, rundt tegn i landskabet, som er lavet af sten eller jord, og som ofte har religiøs eller astronomisk betydning.",['https://www.yumpu.com/da/document/view/23991831/klassifikation-af-anlag-centralregistrering-11-1-kulturstyrelsen']
Milepæl/-sten,Milestone/stone,smile,717,Nyere tid,"{'Nyere tid': 613, 'Historisk Tid': 87, 'Udateret': 17}","En milepæl er en sten, der angiver afstanden fra et bestemt sted, typisk i mil, og som er placeret ved vejkanten.","['https://dictionary.cambridge.org/dictionary/norwegian-english/milepael', 'https://en.wiktionary.org/wiki/milep%C3%A6l', 'https://www.lingq.com/en/learn-norwegian-online/translate/no/milep%C3%A6l/', 'https://ordnet.dk/ddo/ordbog?query=milep%C3%A6l', 'https://www.dinordbok.no/en/norwegian-english/?q=milepel']"
Mindesmærke,Memory mark,memory,691,Nyere tid,"{'Nyere tid': 637, 'Historisk Tid': 47, 'Efterreformatorisk tid': 3, 'Middelalder': 2, 'Udateret': 2}","Et mindesmærke er et sted eller et genstand, som er opført til minde om en person eller en begivenhed, og som har en særlig betydning for en lokalbefolkningen.","['https://ordnet.dk/ddo/ordbog?query=mindesm%C3%A6rke', 'https://slks.dk/omraader/kulturarv/information-til-ejere-/-brugere/det-maa-du-paa-fortidsminder', 'https://slks.dk/omraader/kulturarv/beskyttede-fortidsminder/udpegning-af-beskyttede-fortidsminder']"
