anlaegsbetydning,en_anlaegsbetydning,fa-icon,counts,most_frequent_datering,datering_distributions
Gravrøse,Gravity,grav,2353,Oldtid,"{'Oldtid': 1887, 'Jernalder': 300, 'Bronzealder': 144, 'Vikingetid': 11, 'Stenalder': 10, 'Udateret': 1}"
"Diverse anlæg og genstande, uspec undergruppe","Miscellaneous plant and articles, unspecified sub-group",d-and-d,2327,Udateret,"{'Udateret': 566, 'Stenalder': 425, 'Oldtid': 418, 'Middelalder': 249, 'Jernalder': 243, 'Historisk Tid': 172, 'Nyere tid': 134, 'Bronzealder': 61, 'Vikingetid': 45, 'Efterreformatorisk tid': 14}"
Marksystem,Field System,steam,2209,Jernalder,"{'Jernalder': 955, 'Oldtid': 478, 'Historisk Tid': 438, 'Middelalder': 189, 'Udateret': 66, 'Nyere tid': 60, 'Bronzealder': 11, 'Stenalder': 6, 'Efterreformatorisk tid': 4, 'Vikingetid': 2}"
Bygning,Building,building,2177,Historisk Tid,"{'Historisk Tid': 527, 'Jernalder': 415, 'Middelalder': 395, 'Nyere tid': 391, 'Oldtid': 119, 'Bronzealder': 97, 'Udateret': 76, 'Stenalder': 64, 'Efterreformatorisk tid': 58, 'Vikingetid': 35}"
"Begravelse, uspec undergruppe","Funeral, unspecified subgroup",crop,1873,Bronzealder,"{'Bronzealder': 503, 'Jernalder': 465, 'Stenalder': 435, 'Oldtid': 399, 'Vikingetid': 26, 'Historisk Tid': 18, 'Udateret': 14, 'Nyere tid': 7, 'Middelalder': 6}"
Hulvej,Hollow Road,ad,1519,Udateret,"{'Udateret': 1354, 'Historisk Tid': 75, 'Oldtid': 42, 'Nyere tid': 30, 'Middelalder': 10, 'Jernalder': 3, 'Bronzealder': 2, 'Vikingetid': 2, 'Efterreformatorisk tid': 1}"
Skåltegn,Skeel Characters,chair,1455,Bronzealder,"{'Bronzealder': 1036, 'Oldtid': 400, 'Stenalder': 9, 'Udateret': 9, 'Jernalder': 1}"
Votivfund,Votive find,wind,1444,Stenalder,"{'Stenalder': 554, 'Bronzealder': 383, 'Jernalder': 349, 'Oldtid': 132, 'Vikingetid': 15, 'Udateret': 4, 'Nyere tid': 3, 'Middelalder': 2, 'Efterreformatorisk tid': 1, 'Historisk Tid': 1}"
Urnegrav (uspecificeret type),Arrow grave (unspecified type),grav,1439,Bronzealder,"{'Bronzealder': 757, 'Jernalder': 382, 'Oldtid': 296, 'Nyere tid': 3, 'Udateret': 1}"
Brønd,Brønd,creative-commons-nd,1339,Jernalder,"{'Jernalder': 367, 'Historisk Tid': 244, 'Middelalder': 209, 'Nyere tid': 186, 'Oldtid': 130, 'Udateret': 71, 'Bronzealder': 56, 'Vikingetid': 32, 'Efterreformatorisk tid': 29, 'Stenalder': 15}"
Dysse,Dyssis,sass,1270,Stenalder,"{'Stenalder': 1265, 'Oldtid': 3, 'Udateret': 2}"
Depotfund,Detention finding,digg,1153,Stenalder,"{'Stenalder': 501, 'Bronzealder': 333, 'Jernalder': 126, 'Vikingetid': 75, 'Oldtid': 51, 'Middelalder': 21, 'Historisk Tid': 14, 'Efterreformatorisk tid': 11, 'Udateret': 11, 'Nyere tid': 10}"
Kirke,Church,church,1115,Historisk Tid,"{'Historisk Tid': 799, 'Middelalder': 277, 'Udateret': 18, 'Nyere tid': 13, 'Efterreformatorisk tid': 5, 'Vikingetid': 2, 'Jernalder': 1}"
Hegn/gærde,Fences/street,tree,1060,Jernalder,"{'Jernalder': 664, 'Oldtid': 118, 'Udateret': 65, 'Middelalder': 58, 'Vikingetid': 42, 'Nyere tid': 38, 'Historisk Tid': 34, 'Bronzealder': 25, 'Stenalder': 15, 'Efterreformatorisk tid': 1}"
Borg/Voldsted,Borg/Voldsted,blog,974,Middelalder,"{'Middelalder': 521, 'Historisk Tid': 383, 'Udateret': 36, 'Efterreformatorisk tid': 14, 'Vikingetid': 7, 'Jernalder': 6, 'Nyere tid': 4, 'Oldtid': 3}"
Skaldynge,Shelled,user-shield,973,Stenalder,"{'Stenalder': 806, 'Oldtid': 96, 'Jernalder': 63, 'Bronzealder': 8}"
Stolpehul m. uvis funktion,Pithole with no function,home,960,Oldtid,"{'Oldtid': 440, 'Udateret': 198, 'Jernalder': 184, 'Stenalder': 40, 'Bronzealder': 37, 'Historisk Tid': 25, 'Middelalder': 20, 'Nyere tid': 8, 'Vikingetid': 8}"
Stensætning,Stone set,store,936,Oldtid,"{'Oldtid': 551, 'Bronzealder': 129, 'Jernalder': 128, 'Stenalder': 56, 'Udateret': 46, 'Nyere tid': 14, 'Vikingetid': 5, 'Historisk Tid': 4, 'Middelalder': 2, 'Efterreformatorisk tid': 1}"
Ildsted,Location of fire,at,921,Oldtid,"{'Oldtid': 403, 'Jernalder': 194, 'Stenalder': 121, 'Udateret': 82, 'Bronzealder': 58, 'Middelalder': 32, 'Nyere tid': 12, 'Historisk Tid': 11, 'Efterreformatorisk tid': 5, 'Vikingetid': 3}"
Brandplet,Firespot,fire,919,Jernalder,"{'Jernalder': 843, 'Oldtid': 45, 'Bronzealder': 17, 'Vikingetid': 10, 'Stenalder': 2, 'Udateret': 2}"
Vej,Road,road,869,Udateret,"{'Udateret': 285, 'Historisk Tid': 268, 'Middelalder': 107, 'Nyere tid': 97, 'Oldtid': 47, 'Jernalder': 39, 'Efterreformatorisk tid': 15, 'Vikingetid': 7, 'Bronzealder': 3, 'Stenalder': 1}"
Kirkegård,Churchyard,church,859,Historisk Tid,"{'Historisk Tid': 523, 'Middelalder': 253, 'Nyere tid': 63, 'Udateret': 13, 'Efterreformatorisk tid': 4, 'Oldtid': 2, 'Vikingetid': 1}"
Stenlægning/Stensamling,Stone laying/Stone collection,store,825,Oldtid,"{'Oldtid': 319, 'Udateret': 182, 'Jernalder': 139, 'Stenalder': 61, 'Historisk Tid': 36, 'Bronzealder': 31, 'Nyere tid': 30, 'Middelalder': 16, 'Efterreformatorisk tid': 7, 'Vikingetid': 4}"
Grubehus,Grub House,user,818,Jernalder,"{'Jernalder': 635, 'Vikingetid': 141, 'Udateret': 31, 'Oldtid': 6, 'Middelalder': 5}"
Bautasten,Bautasten,atlas,813,Oldtid,"{'Oldtid': 546, 'Jernalder': 219, 'Vikingetid': 23, 'Bronzealder': 17, 'Stenalder': 4, 'Udateret': 3, 'Nyere tid': 1}"
Jern,Iron,exclamation,777,Jernalder,"{'Jernalder': 614, 'Udateret': 100, 'Middelalder': 32, 'Historisk Tid': 17, 'Vikingetid': 8, 'Nyere tid': 4, 'Bronzealder': 1, 'Oldtid': 1}"
Gård,Farm,calendar-minus,775,Jernalder,"{'Jernalder': 273, 'Historisk Tid': 163, 'Nyere tid': 151, 'Middelalder': 124, 'Efterreformatorisk tid': 24, 'Udateret': 14, 'Oldtid': 13, 'Bronzealder': 7, 'Vikingetid': 6}"
Markrøse,Marker,marker,745,Oldtid,"{'Oldtid': 590, 'Jernalder': 126, 'Udateret': 21, 'Nyere tid': 6, 'Historisk Tid': 2}"
Milepæl/-sten,Milestones,smile,717,Nyere tid,"{'Nyere tid': 613, 'Historisk Tid': 87, 'Udateret': 17}"
Mindesmærke,Memorial brand,memory,691,Nyere tid,"{'Nyere tid': 637, 'Historisk Tid': 47, 'Efterreformatorisk tid': 3, 'Middelalder': 2, 'Udateret': 2}"
Genforeningssten,Reunion stone,icons,644,Nyere tid,"{'Nyere tid': 642, 'Historisk Tid': 2}"
Saltudvinding,Salt extraction,tractor,638,Nyere tid,"{'Nyere tid': 622, 'Historisk Tid': 9, 'Middelalder': 4, 'Udateret': 2, 'Efterreformatorisk tid': 1}"
Brolægning,Broiling,building,620,Jernalder,"{'Jernalder': 162, 'Historisk Tid': 143, 'Middelalder': 110, 'Nyere tid': 85, 'Oldtid': 49, 'Udateret': 31, 'Efterreformatorisk tid': 16, 'Stenalder': 10, 'Bronzealder': 7, 'Vikingetid': 7}"
Skelet,Skeleton,lemon,619,Oldtid,"{'Oldtid': 273, 'Udateret': 133, 'Stenalder': 106, 'Jernalder': 56, 'Historisk Tid': 22, 'Bronzealder': 12, 'Middelalder': 7, 'Nyere tid': 7, 'Vikingetid': 2, 'Efterreformatorisk tid': 1}"
Dyrkningsspor,Cultivation tracks,truck,600,Oldtid,"{'Oldtid': 270, 'Stenalder': 86, 'Historisk Tid': 85, 'Jernalder': 66, 'Bronzealder': 34, 'Nyere tid': 21, 'Udateret': 20, 'Middelalder': 14, 'Vikingetid': 3, 'Efterreformatorisk tid': 1}"
Bro,Bridge,gem,579,Nyere tid,"{'Nyere tid': 299, 'Historisk Tid': 183, 'Udateret': 56, 'Middelalder': 23, 'Vikingetid': 8, 'Jernalder': 5, 'Efterreformatorisk tid': 3, 'Oldtid': 2}"
Stenlægning/stensamling,Stone laying/stone collection,store,566,Oldtid,"{'Oldtid': 351, 'Bronzealder': 84, 'Stenalder': 73, 'Jernalder': 52, 'Vikingetid': 3, 'Udateret': 2, 'Nyere tid': 1}"
Voldgrav,Gravity,grav,552,Historisk Tid,"{'Historisk Tid': 435, 'Middelalder': 53, 'Efterreformatorisk tid': 28, 'Udateret': 12, 'Jernalder': 11, 'Nyere tid': 6, 'Vikingetid': 6, 'Stenalder': 1}"
Metal,Metal,medal,547,Jernalder,"{'Jernalder': 192, 'Bronzealder': 162, 'Middelalder': 68, 'Udateret': 49, 'Oldtid': 26, 'Historisk Tid': 19, 'Vikingetid': 13, 'Nyere tid': 11, 'Efterreformatorisk tid': 7}"
Dyreben,Animal bones,bone,541,Stenalder,"{'Stenalder': 201, 'Oldtid': 135, 'Udateret': 116, 'Jernalder': 38, 'Nyere tid': 15, 'Historisk Tid': 13, 'Bronzealder': 11, 'Middelalder': 7, 'Vikingetid': 4, 'Efterreformatorisk tid': 1}"
Grøft (afvanding),Green (dewatering),ring,532,Udateret,"{'Udateret': 135, 'Nyere tid': 132, 'Historisk Tid': 108, 'Middelalder': 79, 'Jernalder': 30, 'Oldtid': 27, 'Bronzealder': 8, 'Efterreformatorisk tid': 8, 'Vikingetid': 3, 'Stenalder': 2}"
Brandgrav i stenkiste,Fire pit in stone coffin,fire,472,Bronzealder,"{'Bronzealder': 386, 'Oldtid': 72, 'Jernalder': 12, 'Stenalder': 2}"
Højsagn,Celebration,at,454,Historisk Tid,"{'Historisk Tid': 337, 'Nyere tid': 113, 'Middelalder': 2, 'Efterreformatorisk tid': 1, 'Oldtid': 1}"
Befæstning,Load,ad,449,Nyere tid,"{'Nyere tid': 203, 'Historisk Tid': 118, 'Middelalder': 65, 'Efterreformatorisk tid': 26, 'Jernalder': 11, 'Vikingetid': 11, 'Udateret': 8, 'Stenalder': 7}"
Fyldskifte (uspecificeret),Fill change (unspecified),fill,412,Oldtid,"{'Oldtid': 106, 'Udateret': 89, 'Nyere tid': 62, 'Stenalder': 57, 'Jernalder': 41, 'Historisk Tid': 34, 'Bronzealder': 15, 'Efterreformatorisk tid': 4, 'Middelalder': 2, 'Vikingetid': 2}"
Baunehøj,Baunehøj,burn,410,Historisk Tid,"{'Historisk Tid': 379, 'Oldtid': 14, 'Nyere tid': 12, 'Udateret': 5}"
Tegl,Tegl,drum-steelpan,377,Nyere tid,"{'Nyere tid': 162, 'Historisk Tid': 127, 'Middelalder': 73, 'Efterreformatorisk tid': 8, 'Udateret': 7}"
Krigergrav,Warrior Grave,grav,370,Nyere tid,"{'Nyere tid': 363, 'Udateret': 4, 'Efterreformatorisk tid': 1, 'Middelalder': 1, 'Stenalder': 1}"
Tuegrav,Tuegrave,grav,366,Jernalder,"{'Jernalder': 309, 'Oldtid': 50, 'Bronzealder': 3, 'Stenalder': 2, 'Udateret': 1, 'Vikingetid': 1}"
Helleristning/billedsten,Rockstone/Picture stone,rocket,350,Bronzealder,"{'Bronzealder': 264, 'Oldtid': 69, 'Nyere tid': 7, 'Historisk Tid': 3, 'Jernalder': 2, 'Middelalder': 2, 'Vikingetid': 2, 'Stenalder': 1}"
Vrag,Wreck,wrench,348,Oldtid,"{'Oldtid': 68, 'Udateret': 66, 'Nyere tid': 51, 'Stenalder': 48, 'Historisk Tid': 38, 'Middelalder': 31, 'Jernalder': 25, 'Efterreformatorisk tid': 10, 'Vikingetid': 10, 'Bronzealder': 1}"
Grøft (skel),Green (discrete),dice,328,Udateret,"{'Udateret': 121, 'Historisk Tid': 71, 'Middelalder': 51, 'Jernalder': 42, 'Nyere tid': 22, 'Oldtid': 15, 'Vikingetid': 3, 'Efterreformatorisk tid': 2, 'Bronzealder': 1}"
Skanse,Scanning,ring,321,Nyere tid,"{'Nyere tid': 186, 'Historisk Tid': 118, 'Efterreformatorisk tid': 8, 'Udateret': 5, 'Middelalder': 4}"
"Tro og tradition, uspec undergruppe","Faith and tradition, unspecified subgroup",d-and-d,311,Historisk Tid,"{'Historisk Tid': 179, 'Nyere tid': 83, 'Middelalder': 12, 'Udateret': 10, 'Jernalder': 9, 'Oldtid': 7, 'Stenalder': 6, 'Bronzealder': 3, 'Efterreformatorisk tid': 2}"
Begravelsesplads,Funeral site,sith,303,Jernalder,"{'Jernalder': 150, 'Oldtid': 39, 'Nyere tid': 33, 'Historisk Tid': 27, 'Bronzealder': 17, 'Stenalder': 12, 'Middelalder': 10, 'Vikingetid': 10, 'Udateret': 4, 'Efterreformatorisk tid': 1}"
Kilometersten,Kilometers,om,300,Nyere tid,{'Nyere tid': 300}
Kultanlæg,Cultivated eggs,at,300,Stenalder,"{'Stenalder': 112, 'Jernalder': 96, 'Oldtid': 47, 'Bronzealder': 34, 'Udateret': 5, 'Vikingetid': 5, 'Middelalder': 1}"
Stammekiste,Trimming coffin,ring,288,Bronzealder,"{'Bronzealder': 247, 'Stenalder': 23, 'Oldtid': 10, 'Jernalder': 7, 'Vikingetid': 1}"
Vejmærke,Road brand,ad,275,Nyere tid,"{'Nyere tid': 248, 'Historisk Tid': 22, 'Udateret': 5}"
Vejkiste,Road chest,ad,272,Nyere tid,"{'Nyere tid': 200, 'Historisk Tid': 47, 'Udateret': 24, 'Efterreformatorisk tid': 1}"
"Militærvæsen, uspec undergruppe","Military, unspecified subgroup",amilia,254,Nyere tid,"{'Nyere tid': 236, 'Historisk Tid': 7, 'Middelalder': 4, 'Udateret': 3, 'Jernalder': 2, 'Oldtid': 2}"
Urnegrav (stenomsat),Urnegrave (stoned),grav,253,Bronzealder,"{'Bronzealder': 165, 'Oldtid': 65, 'Jernalder': 23}"
Ødekirke,Cathedral,at,250,Historisk Tid,"{'Historisk Tid': 137, 'Middelalder': 102, 'Udateret': 10, 'Vikingetid': 1}"
Hjulspor,Wheel tracks,truck,242,Udateret,"{'Udateret': 122, 'Historisk Tid': 53, 'Nyere tid': 25, 'Oldtid': 13, 'Middelalder': 12, 'Jernalder': 10, 'Stenalder': 3, 'Efterreformatorisk tid': 2, 'Bronzealder': 1, 'Vikingetid': 1}"
Dyrefold,Animal fold,folder,236,Nyere tid,"{'Nyere tid': 110, 'Historisk Tid': 68, 'Udateret': 41, 'Oldtid': 7, 'Jernalder': 6, 'Bronzealder': 4}"
Vandmølle,Water mold,at,228,Historisk Tid,"{'Historisk Tid': 107, 'Middelalder': 58, 'Nyere tid': 42, 'Efterreformatorisk tid': 15, 'Vikingetid': 3, 'Udateret': 2, 'Jernalder': 1}"
Beskyttelsesanlæg,Protective measures,route,226,Nyere tid,"{'Nyere tid': 223, 'Middelalder': 1, 'Oldtid': 1, 'Vikingetid': 1}"
Helligkilde,Holy Source,sort,212,Historisk Tid,"{'Historisk Tid': 169, 'Middelalder': 31, 'Nyere tid': 5, 'Efterreformatorisk tid': 2, 'Jernalder': 2, 'Udateret': 2, 'Bronzealder': 1}"
Herregårdsanlæg/Slot,Men's Legs / Castle,stripe-s,211,Historisk Tid,"{'Historisk Tid': 128, 'Middelalder': 37, 'Nyere tid': 27, 'Efterreformatorisk tid': 19}"
Rettersted,Rectangular location,angular,210,Historisk Tid,"{'Historisk Tid': 168, 'Nyere tid': 38, 'Middelalder': 3, 'Efterreformatorisk tid': 1}"
Vandledning,Water main,at,208,Historisk Tid,"{'Historisk Tid': 125, 'Nyere tid': 59, 'Middelalder': 12, 'Efterreformatorisk tid': 11, 'Udateret': 1}"
Vildtbaneafmærkning,Wild game marking,parking,204,Nyere tid,"{'Nyere tid': 177, 'Historisk Tid': 27}"
Røse,Smooth,th,204,Oldtid,"{'Oldtid': 178, 'Jernalder': 14, 'Historisk Tid': 5, 'Udateret': 3, 'Nyere tid': 2, 'Stenalder': 2}"
Vindmølle,Windmill,wind,199,Nyere tid,"{'Nyere tid': 171, 'Historisk Tid': 23, 'Middelalder': 4, 'Efterreformatorisk tid': 1}"
Mølledæmning,Mouldation,at,195,Historisk Tid,"{'Historisk Tid': 118, 'Nyere tid': 45, 'Middelalder': 23, 'Efterreformatorisk tid': 7, 'Udateret': 1, 'Vikingetid': 1}"
Runesten,Runestones,store,193,Vikingetid,"{'Vikingetid': 140, 'Middelalder': 27, 'Udateret': 10, 'Jernalder': 7, 'Nyere tid': 6, 'Historisk Tid': 2, 'Oldtid': 1}"
Vadested,Wadden site,ad,185,Udateret,"{'Udateret': 95, 'Historisk Tid': 31, 'Oldtid': 31, 'Jernalder': 13, 'Middelalder': 8, 'Nyere tid': 4, 'Stenalder': 2, 'Vikingetid': 1}"
Ovnanlæg (uspecificeret),Furnaces (unspecified),burn,176,Jernalder,"{'Jernalder': 73, 'Oldtid': 34, 'Middelalder': 17, 'Bronzealder': 14, 'Nyere tid': 12, 'Historisk Tid': 11, 'Udateret': 5, 'Efterreformatorisk tid': 4, 'Stenalder': 4, 'Vikingetid': 2}"
Kogegrubekompleks,Boiler pit complex,bible,174,Bronzealder,"{'Bronzealder': 82, 'Oldtid': 70, 'Jernalder': 15, 'Udateret': 6, 'Historisk Tid': 1}"
Klosteranlæg,Klosteranæg,glide-g,166,Middelalder,"{'Middelalder': 126, 'Historisk Tid': 31, 'Efterreformatorisk tid': 5, 'Nyere tid': 4}"
Sagnsten,Legends,edge,165,Historisk Tid,"{'Historisk Tid': 137, 'Nyere tid': 19, 'Udateret': 6, 'Efterreformatorisk tid': 1, 'Middelalder': 1, 'Oldtid': 1}"
Stenrække,Stonewood,store,161,Oldtid,"{'Oldtid': 78, 'Udateret': 34, 'Stenalder': 16, 'Historisk Tid': 9, 'Jernalder': 7, 'Bronzealder': 6, 'Nyere tid': 6, 'Efterreformatorisk tid': 2, 'Vikingetid': 2, 'Middelalder': 1}"
Dige (mark),Dig (mark),marker,154,Nyere tid,"{'Nyere tid': 67, 'Historisk Tid': 64, 'Udateret': 10, 'Oldtid': 6, 'Middelalder': 5, 'Bronzealder': 1, 'Jernalder': 1}"
Forsvarsvold,Defense violence,deaf,151,Udateret,"{'Udateret': 41, 'Historisk Tid': 38, 'Jernalder': 29, 'Middelalder': 24, 'Nyere tid': 10, 'Oldtid': 6, 'Vikingetid': 2, 'Stenalder': 1}"
Dæmning (uspecificeret),Damming (unspecified),file,151,Nyere tid,"{'Nyere tid': 69, 'Historisk Tid': 63, 'Udateret': 12, 'Middelalder': 5, 'Efterreformatorisk tid': 1, 'Oldtid': 1}"
Vejdæmning,Weather absorption,feather,147,Historisk Tid,"{'Historisk Tid': 55, 'Nyere tid': 42, 'Udateret': 36, 'Middelalder': 7, 'Efterreformatorisk tid': 3, 'Oldtid': 2, 'Jernalder': 1, 'Vikingetid': 1}"
Vragdel,Debris,bars,144,Nyere tid,"{'Nyere tid': 35, 'Historisk Tid': 34, 'Udateret': 25, 'Middelalder': 18, 'Oldtid': 18, 'Jernalder': 8, 'Stenalder': 4, 'Vikingetid': 2}"
Skyttegrav,Trench,wrench,140,Nyere tid,"{'Nyere tid': 132, 'Historisk Tid': 4, 'Udateret': 3, 'Efterreformatorisk tid': 1}"
Ødekirkegård,Churchyard,church,137,Middelalder,"{'Middelalder': 68, 'Historisk Tid': 55, 'Udateret': 9, 'Nyere tid': 4, 'Vikingetid': 1}"
Skelsten (offentlig administration),Skelsten (public administration),minus,135,Nyere tid,"{'Nyere tid': 114, 'Historisk Tid': 20, 'Udateret': 1}"
Bolværk,Bollard,chess-board,132,Historisk Tid,"{'Historisk Tid': 61, 'Nyere tid': 44, 'Middelalder': 20, 'Efterreformatorisk tid': 5, 'Udateret': 2}"
Kunstigt anlæg,Artificial plant,plane,125,Nyere tid,"{'Nyere tid': 96, 'Udateret': 16, 'Historisk Tid': 7, 'Oldtid': 4, 'Middelalder': 1, 'Stenalder': 1}"
Batteri,Battery,at,120,Nyere tid,"{'Nyere tid': 119, 'Historisk Tid': 1}"
Tekstil,Textile,file,117,Jernalder,"{'Jernalder': 51, 'Vikingetid': 21, 'Nyere tid': 14, 'Udateret': 11, 'Historisk Tid': 7, 'Oldtid': 6, 'Efterreformatorisk tid': 2, 'Middelalder': 2, 'Stenalder': 2, 'Bronzealder': 1}"
Skelsten (ejendom),Skelstones (property),opera,115,Historisk Tid,"{'Historisk Tid': 55, 'Nyere tid': 46, 'Oldtid': 9, 'Udateret': 3, 'Efterreformatorisk tid': 2}"
Urnebrandgrube,Arrow fire pit,fire,115,Jernalder,"{'Jernalder': 89, 'Oldtid': 15, 'Bronzealder': 11}"
Moselig,Moselig,seedling,115,Jernalder,"{'Jernalder': 54, 'Oldtid': 45, 'Udateret': 11, 'Stenalder': 5}"
Kapel,Chapel,quinscape,113,Middelalder,"{'Middelalder': 65, 'Historisk Tid': 45, 'Nyere tid': 2, 'Udateret': 1}"
Fæstningsanlæg,Loading plant,ad,113,Nyere tid,"{'Nyere tid': 100, 'Historisk Tid': 7, 'Middelalder': 2, 'Udateret': 2, 'Vikingetid': 2}"
Kælderanlæg,Keeled butterfly,fly,113,Historisk Tid,"{'Historisk Tid': 28, 'Nyere tid': 25, 'Middelalder': 20, 'Jernalder': 19, 'Efterreformatorisk tid': 12, 'Bronzealder': 3, 'Oldtid': 2, 'Stenalder': 2, 'Udateret': 2}"
Keramik,Ceramics,icons,108,Jernalder,"{'Jernalder': 28, 'Nyere tid': 26, 'Middelalder': 21, 'Historisk Tid': 10, 'Efterreformatorisk tid': 8, 'Udateret': 5, 'Bronzealder': 4, 'Oldtid': 4, 'Stenalder': 2}"
Lystanlæg,Light bulbs,lightbulb,107,Nyere tid,"{'Nyere tid': 104, 'Historisk Tid': 3}"
Stendyngegrav,Stone dungeon,dungeon,106,Stenalder,"{'Stenalder': 103, 'Bronzealder': 1, 'Jernalder': 1, 'Oldtid': 1}"
Bygningssten,Building blocks,building,102,Historisk Tid,"{'Historisk Tid': 28, 'Middelalder': 23, 'Jernalder': 21, 'Nyere tid': 20, 'Udateret': 7, 'Efterreformatorisk tid': 2, 'Bronzealder': 1}"
Skibssætning,Ship-laying services,ship,100,Vikingetid,"{'Vikingetid': 48, 'Oldtid': 32, 'Jernalder': 18, 'Bronzealder': 2}"
Gravsten,Tombstones,om,99,Nyere tid,"{'Nyere tid': 81, 'Middelalder': 7, 'Historisk Tid': 6, 'Efterreformatorisk tid': 5}"
Ler,Clay,play,96,Jernalder,"{'Jernalder': 41, 'Oldtid': 15, 'Nyere tid': 14, 'Bronzealder': 7, 'Historisk Tid': 7, 'Middelalder': 7, 'Udateret': 2, 'Efterreformatorisk tid': 1, 'Stenalder': 1, 'Vikingetid': 1}"
Brandgrav i trækiste,Fire pit in wooden chest,fire,94,Bronzealder,"{'Bronzealder': 84, 'Stenalder': 4, 'Vikingetid': 4, 'Oldtid': 2}"
